symbol,date,price
population,Jan 2005,123614 
population,Jan 2006,124026 
population,Jan 2007,124117 
population,Jan 2008,123826 
population,Jan 2009,124060 
population,Jan 2010,125312 
population,Jan 2011,125432 
population,Jan 2012,125164 
population,Jan 2013,125017 
income,Jan 2005,73178 
income,Jan 2006,71346 
income,Jan 2007,72302 
income,Jan 2008,72673 
income,Jan 2009,71350 
income,Jan 2010,67420 
income,Jan 2011,66812 
income,Jan 2012,67701 
income,Jan 2013,66356
crime,Jan 2005,589
crime,Jan 2006,630
crime,Jan 2007,588
crime,Jan 2008,594
crime,Jan 2009,588
crime,Jan 2010,594
crime,Jan 2011,586
crime,Jan 2012,571
crime,Jan 2013,528
